,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,deathstoday,percentdeath,testedtoday,recoveredtoday,percentactive
65,12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0.0,0,103.0,,,106.0,0.0,0.0,0.0,0.0,0.0,,103.0,,
66,11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0.0,0,6.0,,,38.0,0.0,0.0,0.0,0.0,0.0,,6.0,,
67,61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
68,62,Nunavut,Nunavut,11-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
69,60,Yukon,Yukon,11-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
70,99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,0.0,1,29.0,,,,1.0,100.0,,,0.0,0.0,29.0,,100.0
71,1,Canada,Canada,11-03-2020,103,0,2.0,103,11023.0,,,293.0,26.0,33.77,0.27,0.005,0.0,1.94,11023.0,,98.06
72,59,British Columbia,Colombie-Britannique,12-03-2020,46,0,1.0,46,5195.0,,,1024.0,7.0,17.95,0.91,0.02,0.0,2.17,822.0,,97.83
73,48,Alberta,Alberta,12-03-2020,19,0,0.0,19,4109.0,,,940.0,5.0,35.71,0.43,0.0,0.0,0.0,2140.0,,100.0
74,47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0.0,1,285.0,,,243.0,1.0,0.0,0.09,0.0,0.0,0.0,81.0,,100.0
75,46,Manitoba,Manitoba,12-03-2020,0,1,0.0,1,352.0,,,257.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,,100.0
76,35,Ontario,Ontario,12-03-2020,59,0,1.0,59,4185.0,,,287.0,17.0,40.48,0.41,0.006999999999999999,0.0,1.69,791.0,,98.31
77,24,Quebec,Québec,12-03-2020,13,0,0.0,13,740.0,,,87.0,6.0,85.71,0.15,0.0,0.0,0.0,184.0,,100.0
78,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0.0,0,52.0,,,100.0,0.0,0.0,0.0,0.0,0.0,,30.0,,
79,13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0.0,1,44.0,,,57.0,1.0,0.0,0.13,0.0,0.0,0.0,0.0,,100.0
80,12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0.0,0,182.0,,,187.0,0.0,0.0,0.0,0.0,0.0,,79.0,,
81,11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0.0,0,6.0,,,38.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
82,60,Yukon,Yukon,12-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
83,61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0.0,0,34.0,,,758.0,0.0,0.0,0.0,0.0,0.0,,34.0,,
84,62,Nunavut,Nunavut,12-03-2020,0,0,0.0,0,1.0,,,26.0,0.0,0.0,0.0,0.0,0.0,,1.0,,
85,99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,0.0,1,29.0,,,,0.0,0.0,,,0.0,0.0,0.0,,100.0
86,1,Canada,Canada,12-03-2020,138,3,2.0,141,15185.0,,,404.0,38.0,36.89,0.38,0.005,0.0,1.42,4162.0,,98.58
87,59,British Columbia,Colombie-Britannique,13-03-2020,53,0,1.0,53,5195.0,,,1024.0,7.0,15.22,1.05,0.02,0.0,1.89,0.0,,98.11
88,48,Alberta,Alberta,13-03-2020,23,0,0.0,23,4109.0,,,940.0,4.0,21.05,0.53,0.0,0.0,0.0,0.0,,100.0
89,47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0.0,1,285.0,,,243.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,,100.0
90,46,Manitoba,Manitoba,13-03-2020,1,2,0.0,3,352.0,,,257.0,2.0,200.0,0.22,0.0,0.0,0.0,0.0,,100.0
91,35,Ontario,Ontario,13-03-2020,79,0,1.0,79,4185.0,,,287.0,20.0,33.9,0.54,0.006999999999999999,0.0,1.27,0.0,,98.73
92,24,Quebec,Québec,13-03-2020,17,0,0.0,17,740.0,,,87.0,4.0,30.77,0.2,0.0,0.0,0.0,0.0,,100.0
93,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0.0,0,52.0,,,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
94,13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0.0,1,44.0,,,57.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,,100.0
95,12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0.0,0,182.0,,,187.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
96,11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0.0,0,6.0,,,38.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
97,60,Yukon,Yukon,13-03-2020,0,0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,
98,61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0.0,0,34.0,,,758.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
99,62,Nunavut,Nunavut,13-03-2020,0,0,0.0,0,1.0,,,26.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
100,99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,0.0,2,29.0,,,,1.0,100.0,,,0.0,0.0,0.0,,100.0
101,1,Canada,Canada,13-03-2020,176,3,2.0,179,15185.0,,,404.0,38.0,26.95,0.48,0.005,0.0,1.12,0.0,,98.88
102,59,British Columbia,Colombie-Britannique,14-03-2020,64,0,1.0,64,7033.0,,,1387.0,11.0,20.75,1.26,0.02,0.0,1.56,1838.0,,98.44
103,48,Alberta,Alberta,14-03-2020,29,0,0.0,29,5247.0,,,1200.0,6.0,26.09,0.66,0.0,0.0,0.0,1138.0,,100.0
104,47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0.0,2,349.0,,,297.0,1.0,100.0,0.17,0.0,0.0,0.0,64.0,,100.0
105,46,Manitoba,Manitoba,14-03-2020,1,3,0.0,4,837.0,,,611.0,1.0,33.33,0.29,0.0,0.0,0.0,485.0,,100.0
106,35,Ontario,Ontario,14-03-2020,79,0,1.0,79,6646.0,,,456.0,0.0,0.0,0.54,0.006999999999999999,0.0,1.27,2461.0,,98.73
107,24,Quebec,Québec,14-03-2020,17,0,0.0,17,1584.0,,,187.0,0.0,0.0,0.2,0.0,0.0,0.0,844.0,,100.0
108,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0.0,0,62.0,,,119.0,0.0,0.0,0.0,0.0,0.0,,10.0,,
109,13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0.0,2,82.0,,,106.0,1.0,100.0,0.26,0.0,0.0,0.0,38.0,,100.0
